fac_cd,fac_nm,ctp_cd,ctp_nm,sig_cd,sig_nm,emd_cd,emd_nm,all_addr_nm,lat,lon
SH00009296,가곡고등학교,5100000000,강원특별자치도,5123000000,삼척시,5123035023,가곡면,강원특별자치도 삼척시 가곡면 오저리 88,37.1459108,129.2051845
SH00004100,건국고등학교,2600000000,부산광역시,2638000000,사하구,2638010300,하단동,부산광역시 사하구 하단동 산 41,35.1095270015,128.969616042
SH00006665,건국대학교사범대학부속고등학교,1100000000,서울특별시,1121500000,광진구,1121510700,화양동,서울특별시 광진구 화양동 5-28,37.5391833068,127.0747098662
SH00004187,건양대학교병설건양고등학교,4400000000,충청남도,4423000000,논산시,4423039028,양촌면,충청남도 논산시 양촌면 남산리 564,36.1413336,127.2346143
SH00006563,검단고등학교,2800000000,인천광역시,2826000000,서구,2826011300,마전동,인천광역시 서구 마전동 249-16,37.6035119,126.6650099
SH00001890,경구고등학교,4700000000,경상북도,4719000000,구미시,4719010400,봉곡동,경상북도 구미시 봉곡동 279,36.1482441337,128.307874169
SH00002535,경기게임마이스터고등학교,4100000000,경기도,4117300000,안양시 동안구,4117310100,비산동,경기도 안양시 동안구 비산동 1101,37.397668382994,126.947553687808
SH00000433,경기경영고등학교,4100000000,경기도,4119400000,부천시 소사구,4119410200,심곡본동,경기도 부천시 심곡본동 768-9,37.4748913447366,126.772646474884
SH00010478,경기고등학교,1100000000,서울특별시,1168000000,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 74-4,37.5161265,127.05525
SH00001499,경기과학고등학교,4100000000,경기도,4111100000,수원시 장안구,4111113500,송죽동,경기도 수원시 장안구 송죽동 68-23,37.3091461,127.0062228
SH00009580,경기관광고등학교,4100000000,경기도,4167000000,여주시,4167035037,대신면,경기도 여주시 대신면 율촌리 282-1,37.375399,127.5894903
SH00007555,경기국제통상고등학교,4100000000,경기도,4119200000,부천시 원미구,4119210800,중동,경기도 부천시 중동 1171-1,37.5004456,126.7613335
SH00003183,경기기계공업고등학교,1100000000,서울특별시,1135000000,노원구,1135010400,하계동,서울특별시 노원구 하계동 78-1,37.6344163,127.0742785
SH00000401,경기대명고등학교,4100000000,경기도,4111300000,수원시 권선구,4111314100,당수동,경기도 수원시 권선구 당수동 122,37.2957968,126.9401894
OR00000053,경기도공업계고등학교공동실습소,4100000000,경기도,4150000000,이천시,4150010700,안흥동,경기도 이천시 안흥동 140,37.2794046379858,127.459307667473
OR00000054,경기도농업계고등학교공동실습소,4100000000,경기도,4167000000,여주시,4167034523,세종대왕면,경기도 여주시 능서면 왕대리 973-1,37.2960242987642,127.621195654867
SH00001547,경기모바일과학고등학교,4100000000,경기도,4127100000,안산시 상록구,4127111000,팔곡일동,경기도 안산시 상록구 팔곡일동 253,37.3059871,126.8982469
SH00005492,경기물류고등학교,4100000000,경기도,4122000000,평택시,4122025321,안중읍,경기도 평택시 안중읍 안중리 293-46,36.9867776,126.9297531
SH00002480,경기북과학고등학교,4100000000,경기도,4115000000,의정부시,4115011100,녹양동,경기도 의정부시 녹양동 305,37.7585484,127.0195647
SH00007255,경기상업고등학교,1100000000,서울특별시,1111000000,종로구,1111010100,청운동,서울특별시 종로구 청운동 89-3,37.5892588925,126.9700589043
SH00000384,경기세무고등학교,4100000000,경기도,4148000000,파주시,4148037035,적성면,경기도 파주시 적성면 마지리 156-1,37.9540198,126.9140483
SH00002463,경기스마트고등학교,4100000000,경기도,4139000000,시흥시,4139013200,정왕동,경기도 시흥시 정왕동 1522,37.3432172578667,126.752050748218
SH00001817,경기여자고등학교,1100000000,서울특별시,1168000000,강남구,1168010300,개포동,서울특별시 강남구 개포동 152,37.486824,127.0660933
SH00006653,경기여자상업고등학교,1100000000,서울특별시,1114000000,중구,1114017300,만리동1가,서울특별시 중구 중림동 324-14,37.5570331,126.9668351
SH00000355,경기영상과학고등학교,4100000000,경기도,4128700000,고양시 일산서구,4128710200,주엽동,경기도 고양시 일산서구 주엽동 95,37.6656821,126.7620059
SH00004172,경기예술고등학교,4100000000,경기도,4119200000,부천시 원미구,4119210800,중동,경기도 부천시 중동 1031,37.5058162,126.761409
SH00006236,경기외국어고등학교,4100000000,경기도,4143000000,의왕시,4143010100,고천동,경기도 의왕시 고천동 438-1,37.3477176,126.9597171
SH00006566,경기자동차과학고등학교,4100000000,경기도,4139000000,시흥시,4139013400,무지내동,경기도 시흥시 무지내동 341-2,37.4142224,126.8393164
SH00006996,경기창조고등학교,4100000000,경기도,4155000000,안성시,4155025029,공도읍,경기도 안성시 공도읍 만정리 789,37.0019669,127.1720565
SH00009241,경기체육고등학교,4100000000,경기도,4111100000,수원시 장안구,4111113300,천천동,경기도 수원시 장안구 천천동 30-1,37.3040812,126.9776796
SH00005480,경기폴리텍고등학교,4100000000,경기도,4141000000,군포시,4141010400,산본동,경기도 군포시 산본동 1146-14,37.3600172165524,126.923906305292
SH00001420,경기항공고등학교,4100000000,경기도,4121000000,광명시,4121010100,광명동,경기도 광명시 광명동 42-122,37.4734532372915,126.857426729785
SH00009016,경남간호고등학교,4800000000,경상남도,4886000000,산청군,4886039024,생비량면,경상남도 산청군 생비량면 가계리 526-1,35.3585247,128.08396
SH00006584,경남고등학교,2600000000,부산광역시,2614000000,서구,2614010300,동대신동3가,부산광역시 서구 동대신동1가 28-3,35.1201995318,129.020041183
SH00201170,경남고성음악고등학교,4800000000,경상남도,4882000000,고성군,4882032021,하일면,경상남도 고성군 하일면 학림리 701-2,34.9440368239747,128.193201033231
SH00006847,경남공업고등학교,2600000000,부산광역시,2623000000,부산진구,2623010200,전포동,부산광역시 부산진구 전포동 696-1,35.1533485794,129.063639965
SH00005299,경남과학고등학교,4800000000,경상남도,4817000000,진주시,4817035027,진성면,경상남도 진주시 진성면 가진리 75-19,35.2013394,128.2247275
SH00003822,경남관광고등학교,4800000000,경상남도,4812100000,창원시 의창구,4812112700,봉곡동,경상남도 창원시 의창구 봉곡동 169,35.2485272,128.6752484
SH00006078,경남로봇고등학교,4800000000,경상남도,4873000000,함안군,4873034023,대산면,경상남도 함안군 대산면 평림리 955,35.3479560926,128.439222758
SH00006069,경남산업고등학교,4800000000,경상남도,4831000000,거제시,4831038024,하청면,경상남도 거제시 하청면 하청리 698-1,34.9536514537,128.652587964
SH00007203,경남여자고등학교,2600000000,부산광역시,2617000000,동구,2617010200,수정동,부산광역시 동구 수정동 558,35.1329232064,129.043949237
SH00004525,경남예술고등학교,4800000000,경상남도,4817000000,진주시,4817012300,장재동,경상남도 진주시 장재동 417-2,35.2159149,128.102385
SH00001863,경남외국어고등학교,4800000000,경상남도,4833000000,양산시,4833011200,어곡동,경상남도 양산시 어곡동 1427-1,35.3971236838,129.0134242
SH00006441,경남자동차고등학교,4800000000,경상남도,4817000000,진주시,4817012300,장재동,경상남도 진주시 장재동 590,35.2194944,128.1015008
SH00003839,경남자영고등학교,4800000000,경상남도,4824000000,사천시,4824031023,정동면,경상남도 사천시 정동면 화암리 746-1,35.0784415712,128.100412541
SH00077471,경남전자고등학교,4800000000,경상남도,4812500000,창원시 마산합포구,4812511900,상남동,경상남도 창원시 마산합포구 상남동 21-11,35.2135129713589,128.571639388419
SH00003829,경남정보고등학교,4800000000,경상남도,4817000000,진주시,4817013200,호탄동,경상남도 진주시 호탄동 884-2,35.1578878781,128.116815388
SH00005300,경남체육고등학교,4800000000,경상남도,4817000000,진주시,4817035027,진성면,경상남도 진주시 진성면 가진리 32,35.2036835,128.2216347
SH00002400,경남항공고등학교,4800000000,경상남도,4882000000,고성군,4882025027,고성읍,경상남도 고성군 고성읍 교사리 338-5,34.9785344649,128.307390208
SH00009781,경남해양과학고등학교,4800000000,경상남도,4884000000,남해군,4884033022,삼동면,경상남도 남해군 삼동면 지족리 192-1,34.8308881,128.004195
SH00007523,경덕여자고등학교,2700000000,대구광역시,2717000000,서구,2717010500,중리동,대구광역시 서구 중리동 100-1,35.8639244,128.5493317
SH00006680,경동고등학교,1100000000,서울특별시,1129000000,성북구,1129011300,삼선동3가,서울특별시 성북구 삼선동3가 43-1,37.586143,127.0149687
SH00007539,경명여자고등학교,2700000000,대구광역시,2723000000,북구,2723010200,칠성동2가,대구광역시 북구 칠성동2가 411,35.8803053,128.5988073
SH00008945,경문고등학교,1100000000,서울특별시,1159000000,동작구,1159010600,동작동,서울특별시 동작구 동작동,37.4925875768791,126.981608921875
SH00007037,경민IT고등학교,4100000000,경기도,4115000000,의정부시,4115011000,가능동,경기도 의정부시 가능동 562-6,37.7460838,127.0251133
SH00007369,경민고등학교,4100000000,경기도,4115000000,의정부시,4115011000,가능동,경기도 의정부시 가능동 562-6,37.7460838,127.0251133
SH00007038,경민비즈니스고등학교,4100000000,경기도,4115000000,의정부시,4115011000,가능동,경기도 의정부시 가능동 562-6,37.7460838,127.0251133
SH00004621,경복고등학교,1100000000,서울특별시,1111000000,종로구,1111010100,청운동,서울특별시 종로구 청운동 89-62,37.5867302,126.9717701
SH00005992,경복비즈니스고등학교,1100000000,서울특별시,1150000000,강서구,1150010200,등촌동,서울특별시 강서구 등촌동 131,37.5580254,126.8526702733
SH00000457,경복여자고등학교,1100000000,서울특별시,1150000000,강서구,1150010200,등촌동,서울특별시 강서구 등촌동 131,37.5578207513,126.8505974178
SH00009005,경북간호고등학교,4700000000,경상북도,4711300000,포항시 북구,4711335024,죽장면,경상북도 포항시 북구 죽장면 입암리 650-1,36.1639150865,129.093229668
