corp_cd,corp_nm,ctp_cd,ctp_nm,sig_cd,sig_nm,emd_cd,emd_nm,all_addr_nm,lon,lat,corp_depth1_cd,corp_depth1,corp_depth2_cd,corp_depth2,corp_depth3_cd,corp_depth3,corp_depth4_cd,corp_depth4,corp_depth5_cd,corp_depth5
260985,한빛네트,1100000000,서울특별시,1111000000,종로구,1111013300,익선동,서울특별시 종로구 익선동 30-6,126.9891365778,37.5751033467,J,정보통신업,58,출판업,582,소프트웨어 개발 및 공급업,5822,시스템ㆍ응용 소프트웨어 개발 및 공급업,58221,시스템 소프트웨어 개발 및 공급업
264529,(주)엔플렉스,1100000000,서울특별시,1168000000,강남구,1168010800,논현동,서울특별시 강남구 논현동 98 동익빌딩 2층,127.0348525208,37.5201828252,J,정보통신업,58,출판업,582,소프트웨어 개발 및 공급업,5822,시스템ㆍ응용 소프트웨어 개발 및 공급업,58221,시스템 소프트웨어 개발 및 공급업
358545,(주)동서정보기술,1100000000,서울특별시,1168000000,강남구,1168010600,대치동,서울특별시 강남구 대치동 997-4 ,127.0663826469,37.5092654557,J,정보통신업,58,출판업,582,소프트웨어 개발 및 공급업,5822,시스템ㆍ응용 소프트웨어 개발 및 공급업,58221,시스템 소프트웨어 개발 및 공급업
231567,주식회사 애드모바일,1100000000,서울특별시,1150000000,강서구,1150010400,가양동,서울특별시 강서구 가양동 1458-9 동남빌딩 2층,126.8432316382,37.569922022,J,정보통신업,58,출판업,582,소프트웨어 개발 및 공급업,5822,시스템ㆍ응용 소프트웨어 개발 및 공급업,58221,시스템 소프트웨어 개발 및 공급업
359614,(주)리더컴,4100000000,경기도,4159000000,화성시,4159037023,장안면,경기도 화성시 장안면 수촌리 877-23,126.8413931426,37.1021939582,C,제조업,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",264,통신 및 방송 장비 제조업,2641,유선 통신장비 제조업,26410,유선 통신장비 제조업
153551,(주)허메스홀딩스,1100000000,서울특별시,1168000000,강남구,1168010500,삼성동,서울특별시 강남구 삼성동 159 코엑스상사전시장 C-28 ,127.0588192507,37.5125211887,C,제조업,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",264,통신 및 방송 장비 제조업,2642,방송 및 무선 통신장비 제조업,26429,기타 무선 통신장비 제조업
344746,(주)유티엑스,1100000000,서울특별시,1154500000,금천구,1154510100,가산동,서울특별시 금천구 가산동 371-28 우림라이온스밸리 B동 13층 ,126.8825071938,37.4799700859,C,제조업,26,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",264,통신 및 방송 장비 제조업,2641,유선 통신장비 제조업,26410,유선 통신장비 제조업
261188,(주)글로포스트,1100000000,서울특별시,1165000000,서초구,1165010600,잠원동,서울특별시 서초구 잠원동 28-1 ,127.019614094,37.5136159507,J,정보통신업,58,출판업,582,소프트웨어 개발 및 공급업,5822,시스템ㆍ응용 소프트웨어 개발 및 공급업,58221,시스템 소프트웨어 개발 및 공급업
268020,(주)쏠라엔텍,1100000000,서울특별시,1165000000,서초구,1165010800,서초동,"서울특별시 서초구 서초동 1677-14 케이비빌딩 4,5층 ",127.0190991045,37.4949738718,G,도매 및 소매업,46,도매 및 상품 중개업,465,기계장비 및 관련 물품 도매업,4659,기타 기계 및 장비 도매업,46599,그 외 기타 기계 및 장비 도매업
269287,(주)보홍,1100000000,서울특별시,1168000000,강남구,1168010800,논현동,서울특별시 강남구 논현동 251 ,127.0381594576,37.5139327133,G,도매 및 소매업,46,도매 및 상품 중개업,465,기계장비 및 관련 물품 도매업,4652,"가전제품, 통신장비 및 부품 도매업",46521,가전제품 및 부품 도매업
