corp_code,corp_name,corp_name_eng,stock_code,ceo_nm,corp_cls,jurir_no,bizr_no,adres,hm_url,ir_url,phn_no,fax_no,induty_code,est_dt,acc_mt,longitude,latitude,corp_depth1_cd,corp_depth1_nm,corp_depth2_cd,corp_depth2_nm,corp_depth3_cd,corp_depth3_nm,corp_depth4_cd,corp_depth4_nm,corp_depth5_cd,corp_depth5_nm,ctp_cd,ctp_nm,sig_cd,sig_nm,emd_cd,emd_nm
260985,한빛네트,"HanbitNet, Inc.",036720,강승환,E,1101111443079.0,2088124283,서울특별시 종로구 익선동 30-6,www.hanbitnet.com,,02-3668-0114,02-3668-0112,58221.0,19970722.0,12.0,126.989136577815,37.5751033467401,58.0,출판업,582.0,소프트웨어 개발 및 공급업,5822.0,시스템ㆍ응용 소프트웨어 개발 및 공급업,58221.0,시스템 소프트웨어 개발 및 공급업,,,1100000000,서울특별시,1111000000,종로구,1111013300,익선동
264529,(주)엔플렉스,"Nplex,Inc.",040130,이 정 학,E,1101111601750.0,2208156354,서울특별시 강남구 논현동 98 동익빌딩 2층,www.gamekorea.net,,(02) 3453-7111,(02) 3453-7345,58221.0,19981030.0,12.0,127.034852520849,37.5201828251686,58.0,출판업,582.0,소프트웨어 개발 및 공급업,5822.0,시스템ㆍ응용 소프트웨어 개발 및 공급업,58221.0,시스템 소프트웨어 개발 및 공급업,,,1100000000,서울특별시,1168000000,강남구,1168010800,논현동
358545,(주)동서정보기술,"Dong Seo Information Technology Co., Ltd.",055000,이희봉,E,1101111259525.0,2208103653,서울특별시 강남구 대치동 997-4 ,http://www.dsit.co.kr,,02-565-4510 (220),02-3453-4552,58221.0,19960410.0,12.0,127.06638264689,37.5092654557218,58.0,출판업,582.0,소프트웨어 개발 및 공급업,5822.0,시스템ㆍ응용 소프트웨어 개발 및 공급업,58221.0,시스템 소프트웨어 개발 및 공급업,,,1100000000,서울특별시,1168000000,강남구,1168010600,대치동
231567,주식회사 애드모바일,,032600,김용석,E,1101111166837.0,1208151156,서울특별시 강서구 가양동 1458-9 동남빌딩 2층,www.kdline.co.kr,,02-518-0101 (변광섭),02-518-0133,58221.0,19950614.0,12.0,126.843231638158,37.56992202196,58.0,출판업,582.0,소프트웨어 개발 및 공급업,5822.0,시스템ㆍ응용 소프트웨어 개발 및 공급업,58221.0,시스템 소프트웨어 개발 및 공급업,,,1100000000,서울특별시,1150000000,강서구,1150010400,가양동
359614,(주)리더컴,"LEADER COMM.Co.,Ltd",056140,박문기,E,1101111571755.0,2208153788,경기도 화성시 장안면 수촌리 877-23,http://leadercomm.co.kr,,031-351-3751,031-351-3750,26410.0,19980801.0,12.0,126.841393142581,37.1021939581834,26.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",264.0,통신 및 방송 장비 제조업,2641.0,유선 통신장비 제조업,26410.0,유선 통신장비 제조업,,,4100000000,경기도,4159000000,화성시,4159037023,장안면 수촌리
153551,(주)허메스홀딩스,"Hermesholdings Co.,LTD",012400,김광선,E,1101110216047.0,1198105220,서울특별시 강남구 삼성동 159 코엑스상사전시장 C-28 ,www.hermesholdings.co.kr,,02-2071-0900,02-2071-0901,26429.0,19770705.0,12.0,127.058819250731,37.5125211887102,26.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",264.0,통신 및 방송 장비 제조업,2642.0,방송 및 무선 통신장비 제조업,26429.0,기타 무선 통신장비 제조업,,,1100000000,서울특별시,1168000000,강남구,1168010500,삼성동
344746,(주)유티엑스,"UTX CO.,LTD.",045880,이성암,E,1201110163250.0,1398134831,서울특별시 금천구 가산동 371-28 우림라이온스밸리 B동 13층 ,www.i-utx.com,,02-2103-3000,02-2103-3100,26410.0,19971212.0,9.0,126.882507193785,37.479970085901,26.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",264.0,통신 및 방송 장비 제조업,2641.0,유선 통신장비 제조업,26410.0,유선 통신장비 제조업,,,1100000000,서울특별시,1154500000,금천구,1154510100,가산동
261188,(주)글로포스트,"Glopost CO., Ltd.",037830,문원호,E,1101111569958.0,2148624959,서울특별시 서초구 잠원동 28-1 ,www.glopost.co.kr,,02-2106-7500,025110877,58221.0,19980728.0,12.0,127.019614093956,37.5136159507333,58.0,출판업,582.0,소프트웨어 개발 및 공급업,5822.0,시스템ㆍ응용 소프트웨어 개발 및 공급업,58221.0,시스템 소프트웨어 개발 및 공급업,,,1100000000,서울특별시,1165000000,서초구,1165010600,잠원동
268020,(주)쏠라엔텍,"SOLAR & TECH CO., LTD.",030390,"김 재 철, 이 동 화 (각자대표)",E,1101110191900.0,1168120163,"서울특별시 서초구 서초동 1677-14 케이비빌딩 4,5층 ",www.dubank.co.kr,,02-525-1110,02-525-2420,46599.0,19760216.0,12.0,127.019099104511,37.4949738718402,46.0,도매 및 상품 중개업,465.0,기계장비 및 관련 물품 도매업,4659.0,기타 기계 및 장비 도매업,46599.0,그 외 기타 기계 및 장비 도매업,,,1100000000,서울특별시,1165000000,서초구,1165010800,서초동
269287,(주)보홍,"Bohong Co.,Ltd.",041320,이근욱,E,1101110990980.0,1058161543,서울특별시 강남구 논현동 251 ,www.bohongcorp.com,,02-3496-4400,02-521-0594,46521.0,19931206.0,12.0,127.03815945761,37.5139327133176,46.0,도매 및 상품 중개업,465.0,기계장비 및 관련 물품 도매업,4652.0,"가전제품, 통신장비 및 부품 도매업",46521.0,가전제품 및 부품 도매업,,,1100000000,서울특별시,1168000000,강남구,1168010800,논현동
475286,동북아1호선박투자회사,DongBukaNO1ShipInvst,078420,김연신,E,1801110473809.0,6078167664,부산광역시 사상구 모라동 795-22,-,,02-746-7000,02-746-7006,71531.0,20040116.0,12.0,128.986706740559,35.1857394932969,71.0,전문 서비스업,715.0,회사 본부 및 경영 컨설팅 서비스업,7153.0,경영 컨설팅 및 공공 관계 서비스업,71531.0,경영 컨설팅업,,,2600000000,부산광역시,2653000000,사상구,2653010200,모라동
250775,에듀아크,"EDU ARK Co., Ltd.",046350,한데이브경환,E,1201110063868.0,1378101130,인천광역시 서구 가좌동 178-196 ,edu-ark.com,,02-798-5910,027985922,2622.0,19910114.0,12.0,126.656269138277,37.4904558957972,26.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262.0,전자부품 제조업,2622.0,인쇄회로기판 및 전자부품 실장기판 제조업,,,,,2800000000,인천광역시,2826000000,서구,2826011200,가좌동
114321,(주)데코,Deco,013650,박성경,E,1101110242985.0,2148107256,서울특별시 송파구 오금동 24-2번지 ,www.deco.co.kr,,02-2145-1372,02  -2145-1367,14112.0,19781209.0,12.0,127.130377111896,37.5077825337412,14.0,"의복, 의복 액세서리 및 모피제품 제조업",141.0,봉제의복 제조업,1411.0,겉옷 제조업,14112.0,여자용 겉옷 제조업,,,1100000000,서울특별시,1171000000,송파구,1171011200,오금동
191108,(주)엘앤씨피,"L&CP CO.,Ltd",015390,최형석,E,1201110038697.0,1228116626,충청북도 충주시 주덕읍 당우리 822-13 ,www.kysys.co.kr,,02-337-9090,032-548-3916,20491.0,19810309.0,12.0,127.749140238483,37.0043324988406,20.0,화학물질 및 화학제품 제조업; 의약품 제외,204.0,기타 화학제품 제조업,2049.0,그 외 기타 화학제품 제조업,20491.0,감광재료 및 관련 화학제품 제조업,,,4300000000,충청북도,4313000000,충주시,4313025031,주덕읍 당우리
167378,(주)희훈디앤지,HEEHOON DESIGN & GLOBAL.CO.LTD,019640,"김재혁, 허  헌",E,1101110513609.0,1118110864,서울특별시 강남구 논현동 66-11 ,www.heehoon.co.kr,,02-512-2081,02  -337 -6324,42.0,19861217.0,12.0,127.029051181026,37.5184914997757,42.0,전문직별 공사업,,,,,,,,,1100000000,서울특별시,1168000000,강남구,1168010800,논현동
225210,(주)퓨쳐인포넷,"Future Infonet, Inc.",058690,류원기,E,1101110828933.0,2118643393,"서울특별시 강남구 대치동 1001-13,14,15 ",www.futureinfonet.com,,(02)3441-5300,(02)517-8610,58221.0,19920113.0,12.0,,,58.0,출판업,582.0,소프트웨어 개발 및 공급업,5822.0,시스템ㆍ응용 소프트웨어 개발 및 공급업,58221.0,시스템 소프트웨어 개발 및 공급업,,,1100000000,서울특별시,1168000000,강남구,1168010600,대치동
223346,(주)쓰리디넷,"3D NET Co.,Ltd.",035400,민봉기,E,1101110829501.0,2148607080,서울특별시 강남구 개포동 1228-1 세영빌딩 5층,vsst.com,,070-7435-8500,02-804-2399,58221.0,19920115.0,12.0,127.046999122543,37.475786663924,58.0,출판업,582.0,소프트웨어 개발 및 공급업,5822.0,시스템ㆍ응용 소프트웨어 개발 및 공급업,58221.0,시스템 소프트웨어 개발 및 공급업,,,1100000000,서울특별시,1168000000,강남구,1168010300,개포동
174129,(주)제일저축은행,Jeil Savings Bank,024100,이용준,E,1101110090350.0,2158133698,서울특별시 송파구 가락동 99-3,www.jeilbank.co.kr,,02-405-2000,02)449-8457,64131.0,19680622.0,6.0,127.118750374759,37.4933339258066,64.0,금융업,641.0,은행 및 저축기관,6413.0,신용조합 및 저축기관,64131.0,신용조합,,,1100000000,서울특별시,1171000000,송파구,1171010700,가락동
114826,제일창업투자(주),Korea First Venture Capital Corporation,026540,황순태,E,1701110044834.0,5018111538,서울특별시 중구 충무로 2가 64-5 ,www.kfvc.co.kr,,02  -775 -7302,02  -775 -7305,64209.0,19900524.0,12.0,126.986359847714,37.561289803566,64.0,금융업,642.0,신탁업 및 집합투자업,6420.0,신탁업 및 집합투자업,64209.0,기타 금융 투자업,,,1100000000,서울특별시,1114000000,중구,1114000000,
173333,(주)현대DSF,"HYUNDAI DSF CO.,LTD",016510,하병호(河炳鎬),E,1812110002811.0,6208100730,울산광역시 남구 삼산동 1521-1,www.e-hyundai.com,,052-228-2233,052)228-1334,47111.0,19821126.0,12.0,129.335790155899,35.5396250906147,47.0,소매업; 자동차 제외,471.0,종합 소매업,4711.0,대형 종합 소매업,47111.0,백화점,,,3100000000,울산광역시,3114000000,남구,3114010600,삼산동
687599,(주)네프로아이티,"NEPRO IT CO., LTD.",950030,카나이 타케시,E,,24377,일본 도쿄도 주오구 쿄바시 1-11-8번지 니시긴빌딩 5층,www.nepro.jp/it/,,81-3-6803-3980,03-6803-3981,63991.0,20000209.0,3.0,,,63.0,정보서비스업,639.0,기타 정보 서비스업,6399.0,그 외 기타 정보 서비스업,63991.0,데이터베이스 및 온라인정보 제공업,,,,,,,,
256292,(주)자강,ZAKANG Inc,036790,최준우,E,1101111303728.0,2138626745,경기도 성남시 분당구 야탑동 514-1 신도리코BD 6F ,www.zakang.co.kr,,031 -789 -9058,031-707-1525,2642.0,19960731.0,12.0,127.129664971772,37.4096231241644,26.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",264.0,통신 및 방송 장비 제조업,2642.0,방송 및 무선 통신장비 제조업,,,,,4100000000,경기도,4113500000,성남시,4113510700,분당구 야탑동
271431,케이엠에스(주),"KMS Co., Ltd",038830,이태현,E,1101110954829.0,1198116256,경기도 안양시 동안구 관양동 900-1 폴리켐빌딩 4층 ,www.kmscorp.co.kr,,031-424-0093,02-3463-1006,2642.0,19930701.0,12.0,126.971979338676,37.3957509398563,26.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",264.0,통신 및 방송 장비 제조업,2642.0,방송 및 무선 통신장비 제조업,,,,,4100000000,경기도,4117300000,안양시,4117310200,동안구 관양동
154727,(주)에버리소스,EVER RESOURCES INC.,020070,김영수,E,1201110041492.0,1398114868,인천광역시 남동구 논현동 448-1 예성아이라이프 804 ,www.ever-res.com,,02-508-0104,02-508-0189,46510.0,19870701.0,12.0,126.695845340421,37.40938823854,46.0,도매 및 상품 중개업,465.0,기계장비 및 관련 물품 도매업,4651.0,"컴퓨터 및 주변장치, 소프트웨어 도매업",46510.0,"컴퓨터 및 주변장치, 소프트웨어 도매업",,,2800000000,인천광역시,2820000000,남동구,2820011000,논현동
246189,제이에스(주),JS Company Limited,037110,임은섭,E,1312110003653.0,1268116157,경기도 이천시 호법면 안평리 67-2 ,www.korfirst.co.kr,,031-638-8731(215),02-532-0310,2642.0,19940905.0,12.0,127.416913941484,37.246675531201,26.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",264.0,통신 및 방송 장비 제조업,2642.0,방송 및 무선 통신장비 제조업,,,,,4100000000,경기도,4150000000,이천시,4150033022,호법면 안평리
154204,태창기업(주),"TAECHANG ENTERPRISE CO.,LTD",007490,김희주,E,1801110018663.0,6218105102,경상남도 고성군 회화면 배둔리 87번지,www.tce.co.kr,,055-672-3657,055-672-3627,13401.0,19560901.0,12.0,128.376623450417,35.0670360644881,13.0,섬유제품 제조업; 의복제외,134.0,"섬유제품 염색, 정리 및 마무리 가공업",1340.0,"섬유제품 염색, 정리 및 마무리 가공업",13401.0,솜 및 실 염색가공업,,,4800000000,경상남도,4882000000,고성군,4882040021,회화면 배둔리
152631,(주)에이치비이에너지,"HBE ENERGY CO.,LTD",017300,한상업,E,1753110001281.0,5138102065,경상북도 구미시공단동 170,www.kds21.com,,02-2016-6227,02-2016-6239,26.0,19831020.0,12.0,128.380727996213,36.1135971180728,26.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,4700000000,경상북도,4719000000,구미시,4719000000,
358095,(주)코어비트,COREBIT,056850,김지태,E,1301110022929.0,1248121692,서울특별시 강남구 논현동 61-5 디엠씨씨빌딩 801호 ,www.corebit.co.kr,,02-544-1500,02-544-1560,58221.0,19930923.0,12.0,127.03155640252,37.5203903517908,58.0,출판업,582.0,소프트웨어 개발 및 공급업,5822.0,시스템ㆍ응용 소프트웨어 개발 및 공급업,58221.0,시스템 소프트웨어 개발 및 공급업,,,1100000000,서울특별시,1168000000,강남구,1168010800,논현동
510215,동북아8호선박투자회사,Dongbuka No.8 Ship Investment Company,082110,김연신,E,1801110501709.0,6068189078,부산광역시 사상구 모라동 795-22,-,,02-746-7000,02-746-7006,71531.0,20041119.0,12.0,128.986706740559,35.1857394932969,71.0,전문 서비스업,715.0,회사 본부 및 경영 컨설팅 서비스업,7153.0,경영 컨설팅 및 공공 관계 서비스업,71531.0,경영 컨설팅업,,,2600000000,부산광역시,2653000000,사상구,2653010200,모라동
347619,한국통신데이타(주),Korea Telecom Data Inc.,045760,진 병 현,E,1101111631103.0,2098121969,서울특별시 서초구 방배동 792-10 일건빌딩 402호,www.ktdata.co.kr,,02-571-6162,02-571-6163,58221.0,19990108.0,12.0,126.987467866898,37.4918411382944,58.0,출판업,582.0,소프트웨어 개발 및 공급업,5822.0,시스템ㆍ응용 소프트웨어 개발 및 공급업,58221.0,시스템 소프트웨어 개발 및 공급업,,,1100000000,서울특별시,1165000000,서초구,1165010100,방배동
372013,(주)케너텍,"KENERTEC CO., LTD.",062730,정복임,E,1101111465213.0,1168165855,경상북도 포항시 북구 청하면 이가리 366 ,www.kenertec.co.kr,,(054)261-8040,054-261-6080,291.0,19970924.0,12.0,129.382640829734,36.1757918738212,29.0,기타 기계 및 장비 제조업,291.0,일반 목적용 기계 제조업,,,,,,,4700000000,경상북도,4711300000,포항시,4711332028,북구 청하면 이가리
353735,(주)다휘,"DAHUI Co., Ltd.",055250,이근훈,E,1159110011511.0,4108130850,서울특별시 강남구 청담동 92-3 삼이빌딩 6층 ,www.dahui.co.kr,,02-501-4694,02-501-4694,291.0,19950412.0,12.0,127.043191901743,37.5240090610403,29.0,기타 기계 및 장비 제조업,291.0,일반 목적용 기계 제조업,,,,,,,1100000000,서울특별시,1168000000,강남구,1168010400,청담동
186540,코오롱아이넷(주),KOLON I' NETWORKS CORP.,022520,박동문,E,1101110712350.0,1108125442,서울특별시 금천구 가산동 533-2 롯데센터 ,www.koloninet.com,,02-2028-9200,(02)3660-7373,58221.0,19900720.0,12.0,126.876658307043,37.4836074424237,58.0,출판업,582.0,소프트웨어 개발 및 공급업,5822.0,시스템ㆍ응용 소프트웨어 개발 및 공급업,58221.0,시스템 소프트웨어 개발 및 공급업,,,1100000000,서울특별시,1154500000,금천구,1154510100,가산동
128759,캠브리지코오롱(주),"CAMBRIDGE KOLON CO.,LTD",004620,오원선,E,1341110000517.0,1238100559,경기도 과천시 별양동 1-22 ,www.cambridge.co.kr,,02-3677-8140,02-584-9268,14111.0,19660610.0,12.0,126.991317650698,37.4257648370389,14.0,"의복, 의복 액세서리 및 모피제품 제조업",141.0,봉제의복 제조업,1411.0,겉옷 제조업,14111.0,남자용 겉옷 제조업,,,4100000000,경기도,4129000000,과천시,4129010900,별양동
535588,네오세미테크(주),Neosemitech Corporation,089240,"공동대표이사 박동창, 송준석, 김근",E,1501110040779.0,3018137791,인천광역시 연수구 송도동 7-14 ,www.neosemitech.com,,032-720-1100,032-720-1107,2612.0,19990805.0,12.0,126.652275990808,37.3866947595154,26.0,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",261.0,반도체 제조업,2612.0,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",,,,,2800000000,인천광역시,2818500000,연수구,2818510600,송도동
264981,(주)디에이치패션,D.H FASHION CORP.,045260,이장훈,E,1101111468952.0,2118625852,서울특별시 강남구 삼성동 159 코엑스상사전시장 C-100-4 ,www.enerlands.com,,02-6000-7824,02-6000-3728,467.0,19971004.0,12.0,127.058819250731,37.5125211887102,46.0,도매 및 상품 중개업,467.0,기타 전문 도매업,,,,,,,1100000000,서울특별시,1168000000,강남구,1168010500,삼성동
231521,(주)핸디소프트,HandySoft Corp.,032380,권석호,E,1101110747943.0,1148145926,"서울특별시 서초구 서초동 1602-5번지 로얄타워 8층~12층,15층 ",www.handysoft.co.kr,,02  -3479-5640,02  -3479-5599,58221.0,19910210.0,12.0,127.015577805954,37.4855398478884,58.0,출판업,582.0,소프트웨어 개발 및 공급업,5822.0,시스템ㆍ응용 소프트웨어 개발 및 공급업,58221.0,시스템 소프트웨어 개발 및 공급업,,,1100000000,서울특별시,1165000000,서초구,1165010800,서초동
159908,케이엠에이치(주),"KMH Co., Ltd.",009690,김선근,E,1101110161333.0,1198104667,"경기도 안양시 동안구 관양동 799 안양메가밸리 405,812",www.kmholdings.co.kr,,031-420-4730,02)865-1050,28302.0,19740307.0,12.0,126.967689128999,37.4015512530258,28.0,전기장비 제조업,283.0,절연선 및 케이블 제조업,2830.0,절연선 및 케이블 제조업,28302.0,기타 절연선 및 케이블 제조업,,,4100000000,경기도,4117300000,안양시,4117310200,동안구 관양동
