corp_code,corp_name,corp_name_eng,stock_code,ceo_nm,corp_cls,jurir_no,bizr_no,adres,hm_url,ir_url,phn_no,fax_no,induty_code,est_dt,acc_mt
00260985,한빛네트,"HanbitNet, Inc.",036720,강승환,E,1101111443079,2088124283,서울특별시 종로구 익선동 30-6,www.hanbitnet.com,,02-3668-0114,02-3668-0112,58221,19970722,12
00264529,(주)엔플렉스,"Nplex,Inc.",040130,이 정 학,E,1101111601750,2208156354,서울특별시 강남구 논현동 98 동익빌딩 2층,www.gamekorea.net,,(02) 3453-7111,(02) 3453-7345,58221,19981030,12
00358545,(주)동서정보기술,"Dong Seo Information Technology Co., Ltd.",055000,이희봉,E,1101111259525,2208103653,서울특별시 강남구 대치동 997-4 ,http://www.dsit.co.kr,,02-565-4510 (220),02-3453-4552,58221,19960410,12
00231567,주식회사 애드모바일,,032600,김용석,E,1101111166837,1208151156,서울특별시 강서구 가양동 1458-9 동남빌딩 2층,www.kdline.co.kr,,02-518-0101 (변광섭),02-518-0133,58221,19950614,12
00359614,(주)리더컴,"LEADER COMM.Co.,Ltd",056140,박문기,E,1101111571755,2208153788,경기도 화성시 장안면 수촌리 877-23,http://leadercomm.co.kr,,031-351-3751,031-351-3750,26410,19980801,12
00153551,(주)허메스홀딩스,"Hermesholdings Co.,LTD",012400,김광선,E,1101110216047,1198105220,서울특별시 강남구 삼성동 159 코엑스상사전시장 C-28 ,www.hermesholdings.co.kr,,02-2071-0900,02-2071-0901,26429,19770705,12
00344746,(주)유티엑스,"UTX CO.,LTD.",045880,이성암,E,1201110163250,1398134831,서울특별시 금천구 가산동 371-28 우림라이온스밸리 B동 13층 ,www.i-utx.com,,02-2103-3000,02-2103-3100,26410,19971212,09
00261188,(주)글로포스트,"Glopost CO., Ltd.",037830,문원호,E,1101111569958,2148624959,서울특별시 서초구 잠원동 28-1 ,www.glopost.co.kr,,02-2106-7500,025110877,58221,19980728,12
00268020,(주)쏠라엔텍,"SOLAR & TECH CO., LTD.",030390,"김 재 철, 이 동 화 (각자대표)",E,1101110191900,1168120163,"서울특별시 서초구 서초동 1677-14 케이비빌딩 4,5층 ",www.dubank.co.kr,,02-525-1110,02-525-2420,46599,19760216,12
00269287,(주)보홍,"Bohong Co.,Ltd.",041320,이근욱,E,1101110990980,1058161543,서울특별시 강남구 논현동 251 ,www.bohongcorp.com,,02-3496-4400,02-521-0594,46521,19931206,12
00475286,동북아1호선박투자회사,DongBukaNO1ShipInvst,078420,김연신,E,1801110473809,6078167664,부산광역시 사상구 모라동 795-22,-,,02-746-7000,02-746-7006,71531,20040116,12
00250775,에듀아크,"EDU ARK Co., Ltd.",046350,한데이브경환,E,1201110063868,1378101130,인천광역시 서구 가좌동 178-196 ,edu-ark.com,,02-798-5910,027985922,2622,19910114,12
00114321,(주)데코,Deco,013650,박성경,E,1101110242985,2148107256,서울특별시 송파구 오금동 24-2번지 ,www.deco.co.kr,,02-2145-1372,02  -2145-1367,14112,19781209,12
00191108,(주)엘앤씨피,"L&CP CO.,Ltd",015390,최형석,E,1201110038697,1228116626,충청북도 충주시 주덕읍 당우리 822-13 ,www.kysys.co.kr,,02-337-9090,032-548-3916,20491,19810309,12
00167378,(주)희훈디앤지,HEEHOON DESIGN & GLOBAL.CO.LTD,019640,"김재혁, 허  헌",E,1101110513609,1118110864,서울특별시 강남구 논현동 66-11 ,www.heehoon.co.kr,,02-512-2081,02  -337 -6324,42,19861217,12
00225210,(주)퓨쳐인포넷,"Future Infonet, Inc.",058690,류원기,E,1101110828933,2118643393,"서울특별시 강남구 대치동 1001-13,14,15 ",www.futureinfonet.com,,(02)3441-5300,(02)517-8610,58221,19920113,12
00223346,(주)쓰리디넷,"3D NET Co.,Ltd.",035400,민봉기,E,1101110829501,2148607080,서울특별시 강남구 개포동 1228-1 세영빌딩 5층,vsst.com,,070-7435-8500,02-804-2399,58221,19920115,12
00174129,(주)제일저축은행,Jeil Savings Bank,024100,이용준,E,1101110090350,2158133698,서울특별시 송파구 가락동 99-3,www.jeilbank.co.kr,,02-405-2000,02)449-8457,64131,19680622,06
00114826,제일창업투자(주),Korea First Venture Capital Corporation,026540,황순태,E,1701110044834,5018111538,서울특별시 중구 충무로 2가 64-5 ,www.kfvc.co.kr,,02  -775 -7302,02  -775 -7305,64209,19900524,12
00173333,(주)현대DSF,"HYUNDAI DSF CO.,LTD",016510,하병호(河炳鎬),E,1812110002811,6208100730,울산광역시 남구 삼산동 1521-1,www.e-hyundai.com,,052-228-2233,052)228-1334,47111,19821126,12
00687599,(주)네프로아이티,"NEPRO IT CO., LTD.",950030,카나이 타케시,E,,24377,일본 도쿄도 주오구 쿄바시 1-11-8번지 니시긴빌딩 5층,www.nepro.jp/it/,,81-3-6803-3980,03-6803-3981,63991,20000209,03
00256292,(주)자강,ZAKANG Inc,036790,최준우,E,1101111303728,2138626745,경기도 성남시 분당구 야탑동 514-1 신도리코BD 6F ,www.zakang.co.kr,,031 -789 -9058,031-707-1525,2642,19960731,12
00271431,케이엠에스(주),"KMS Co., Ltd",038830,이태현,E,1101110954829,1198116256,경기도 안양시 동안구 관양동 900-1 폴리켐빌딩 4층 ,www.kmscorp.co.kr,,031-424-0093,02-3463-1006,2642,19930701,12
00154727,(주)에버리소스,EVER RESOURCES INC.,020070,김영수,E,1201110041492,1398114868,인천광역시 남동구 논현동 448-1 예성아이라이프 804 ,www.ever-res.com,,02-508-0104,02-508-0189,46510,19870701,12
00246189,제이에스(주),JS Company Limited,037110,임은섭,E,1312110003653,1268116157,경기도 이천시 호법면 안평리 67-2 ,www.korfirst.co.kr,,031-638-8731(215),02-532-0310,2642,19940905,12
00154204,태창기업(주),"TAECHANG ENTERPRISE CO.,LTD",007490,김희주,E,1801110018663,6218105102,경상남도 고성군 회화면 배둔리 87번지,www.tce.co.kr,,055-672-3657,055-672-3627,13401,19560901,12
00152631,(주)에이치비이에너지,"HBE ENERGY CO.,LTD",017300,한상업,E,1753110001281,5138102065,경상북도 구미시공단동 170,www.kds21.com,,02-2016-6227,02-2016-6239,26,19831020,12
00358095,(주)코어비트,COREBIT,056850,김지태,E,1301110022929,1248121692,서울특별시 강남구 논현동 61-5 디엠씨씨빌딩 801호 ,www.corebit.co.kr,,02-544-1500,02-544-1560,58221,19930923,12
00510215,동북아8호선박투자회사,Dongbuka No.8 Ship Investment Company,082110,김연신,E,1801110501709,6068189078,부산광역시 사상구 모라동 795-22,-,,02-746-7000,02-746-7006,71531,20041119,12
00347619,한국통신데이타(주),Korea Telecom Data Inc.,045760,진 병 현,E,1101111631103,2098121969,서울특별시 서초구 방배동 792-10 일건빌딩 402호,www.ktdata.co.kr,,02-571-6162,02-571-6163,58221,19990108,12
00372013,(주)케너텍,"KENERTEC CO., LTD.",062730,정복임,E,1101111465213,1168165855,경상북도 포항시 북구 청하면 이가리 366 ,www.kenertec.co.kr,,(054)261-8040,054-261-6080,291,19970924,12
00353735,(주)다휘,"DAHUI Co., Ltd.",055250,이근훈,E,1159110011511,4108130850,서울특별시 강남구 청담동 92-3 삼이빌딩 6층 ,www.dahui.co.kr,,02-501-4694,02-501-4694,291,19950412,12
00186540,코오롱아이넷(주),KOLON I' NETWORKS CORP.,022520,박동문,E,1101110712350,1108125442,서울특별시 금천구 가산동 533-2 롯데센터 ,www.koloninet.com,,02-2028-9200,(02)3660-7373,58221,19900720,12
00128759,캠브리지코오롱(주),"CAMBRIDGE KOLON CO.,LTD",004620,오원선,E,1341110000517,1238100559,경기도 과천시 별양동 1-22 ,www.cambridge.co.kr,,02-3677-8140,02-584-9268,14111,19660610,12
00535588,네오세미테크(주),Neosemitech Corporation,089240,"공동대표이사 박동창, 송준석, 김근",E,1501110040779,3018137791,인천광역시 연수구 송도동 7-14 ,www.neosemitech.com,,032-720-1100,032-720-1107,2612,19990805,12
00264981,(주)디에이치패션,D.H FASHION CORP.,045260,이장훈,E,1101111468952,2118625852,서울특별시 강남구 삼성동 159 코엑스상사전시장 C-100-4 ,www.enerlands.com,,02-6000-7824,02-6000-3728,467,19971004,12
00231521,(주)핸디소프트,HandySoft Corp.,032380,권석호,E,1101110747943,1148145926,"서울특별시 서초구 서초동 1602-5번지 로얄타워 8층~12층,15층 ",www.handysoft.co.kr,,02  -3479-5640,02  -3479-5599,58221,19910210,12
00159908,케이엠에이치(주),"KMH Co., Ltd.",009690,김선근,E,1101110161333,1198104667,"경기도 안양시 동안구 관양동 799 안양메가밸리 405,812",www.kmholdings.co.kr,,031-420-4730,02)865-1050,28302,19740307,12
00259493,(주)씨엘엘씨디,"CL LCD CO., LTD.",035710,이양호,E,1101111053935,2118642297,서울특별시 송파구 가락본동 120-1 성호빌딩 3충 ,www.cllcd.co.kr,,02-3401-9048,02-3401-9049,47919,19940705,12
00359641,(주)현대푸드시스템,HYUNDAI FOOD SYSTEM,114410,이규성,E,1345110037695,1358135309,서울특별시 강동구 암사동 선사로 111번지 ,www.hyundaifoodsystem.com,,3015-0241,02-3448-2230,56130,19991223,12
00161639,메리츠종합금융(주),Meritz Investment Bank,012420,김동훈,E,1101110216360,2018105382,서울특별시 중구 태평로1가 84번지 서울파이낸스센터 5층,www.imeritzbank.com,,02-777-7711,(02)777-7710,64919,19770713,03
00211271,제넥셀세인(주),GENEXEL-SEIN INC.,034660,이 문 일,E,1341110030316,1388103183,대전광역시 유성구 구성동 23 한국과학기술원 E18동 2층 ,www.genexel.com,,02 - 575 - 1141,02-2090-1999,27111,19900211,12
