BSI업종코드,SRR업종코드,계층구분코드,국내업체업종세그먼트코드,국외업체업종세그먼트코드,등록경로구분코드,등록부서코드,등록사용자ID,등록일시,수정경로구분코드,수정부서코드,수정사용자ID,수정일시,업종영문명,업종코드,업종코드버전,업종한글명,원본업종코드
,F,4,3,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Construction of installing other building equipment,42209,10,기타 건물 관련설비 설치 공사업,F42209
,F,4,3,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Repair and maintenance works for construction works and supplementary facilities,42500,10,시설물 유지관리 공사업,F42500
,46,4,4,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Wholesale of animal feeds ,46203,10,사료 도매업,G46203
,46,4,4,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,"Wholesale of household wrapping, hygienic goods, bags and similar goods",46451,10,"생활용 포장 및 위생용품, 봉투 및 유사 제품 도매업",G46451
,53,4,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Courier activities,49401,10,택배업,H49401
,50,4,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Other inland water transport,50209,10,기타 내륙 수상 운송업,H50209
,51,4,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Freight air transport,51200,10,항공 화물 운송업,H51200
,I,4,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Dried seaweed rolls and other light food restaurants ,56194,10,김밥 및 기타 간이 음식점업,I56194
,59_60,1,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Broadcasting activities,60,10,방송업,J60
,59_60,4,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Terrestrial broadcasting,60210,10,지상파 방송업,J60210
,64,4,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Other financial investment businesses,64209,10,기타 금융 투자업,K64209
,L,4,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Renting of residential buildings,68111,10,주거용 건물 임대업,L68111
,L,2,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Real estate activities on a fee or contract basis,682,10,부동산 관련 서비스업,L682
,L,4,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Management of nonresidential real estate,68212,10,비주거용 부동산 관리업,L68212
,72,4,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Research and experimental development on medical sciences and pharmacy,70113,10,의학 및 약학 연구개발업,M70113
,P,4,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Fine arts education,85622,10,미술학원,P85622
,P,4,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Other cultural education,85629,10,기타 예술학원,P85629
,P,4,5,3,#,12055,92276,2017-11-14 18:53,#,12055,92276,2017-11-14 18:53,Foreign language institutes,85631,10,외국어학원,P85631
